"","day_of_week","calories"
"285","Wednesday",3096
"286","Wednesday",2997
"287","Wednesday",3043
"288","Wednesday",1931
"289","Wednesday",3787
"290","Wednesday",2647
"291","Wednesday",2188
"292","Wednesday",3679
"293","Thursday",1775
"294","Thursday",1467
"295","Thursday",2140
"296","Thursday",2062
"297","Thursday",2064
"298","Thursday",3158
"299","Thursday",1370
"300","Thursday",1610
"301","Thursday",2048
"302","Thursday",1970
"303","Thursday",2124
"304","Thursday",1397
"305","Thursday",1980
"306","Thursday",1792
"307","Thursday",3069
"308","Thursday",2150
"309","Thursday",2486
"310","Thursday",2729
"311","Thursday",2066
"312","Thursday",4018
"313","Thursday",4900
"314","Thursday",2060
"315","Thursday",1841
"316","Thursday",2179
"317","Thursday",2763
"318","Thursday",2463
"319","Thursday",3103
"320","Thursday",2218
"321","Thursday",4236
"322","Thursday",2883
"323","Thursday",1720
"324","Thursday",3659
"325","Friday",1827
"326","Friday",1470
"327","Friday",2344
"328","Friday",1827
"329","Friday",2093
"330","Friday",2638
"331","Friday",1399
"332","Friday",1851
"333","Friday",1946
"334","Friday",2241
"335","Friday",1669
"336","Friday",1481
"337","Friday",1980
"338","Friday",1886
"339","Friday",3544
"340","Friday",2432
"341","Friday",2094
"342","Friday",2241
"343","Friday",2105
"344","Friday",3329
"345","Friday",2409
"346","Friday",2796
"347","Friday",1922
"348","Friday",2086
"349","Friday",2889
"350","Friday",2846
"351","Friday",2655
"352","Friday",1651
"353","Friday",4044
"354","Friday",2944
"355","Friday",2419
"356","Friday",3427
"357","Saturday",1949
"358","Saturday",1562
"359","Saturday",2677
"360","Saturday",1645
"361","Saturday",2499
"362","Saturday",2069
"363","Saturday",1916
"364","Saturday",1804
"365","Saturday",2629
"366","Saturday",2021
"367","Saturday",1995
"368","Saturday",1638
"369","Saturday",1980
"370","Saturday",1945
"371","Saturday",3306
"372","Saturday",2149
"373","Saturday",2085
"374","Saturday",3691
"375","Saturday",1776
"376","Saturday",3152
"377","Saturday",2651
"378","Saturday",2664
"379","Saturday",1841
"380","Saturday",2571
"381","Saturday",2284
"382","Saturday",1965
"383","Saturday",3554
"384","Saturday",2132
"385","Saturday",2908
"386","Saturday",3012
"387","Saturday",2748
"388","Saturday",3891
"389","Sunday",1788
"390","Sunday",1617
"391","Sunday",2413
"392","Sunday",1347
"393","Sunday",2324
"394","Sunday",2529
"395","Sunday",1401
"396","Sunday",1725
"397","Sunday",2187
"398","Sunday",1898
"399","Sunday",1921
"400","Sunday",1655
"401","Sunday",1980
"402","Sunday",1880
"403","Sunday",2885
"404","Sunday",2247
"405","Sunday",2173
"406","Sunday",3538
"407","Sunday",1507
"408","Sunday",4392
"409","Sunday",2305
"410","Sunday",2703
"411","Sunday",2053
"412","Sunday",1705
"413","Sunday",2667
"414","Sunday",2049
"415","Sunday",3577
"416","Sunday",1976
"417","Sunday",2741
"418","Sunday",2889
"419","Sunday",1799
"420","Sunday",3455
"421","Monday",2013
"422","Monday",1492
"423","Monday",2497
"424","Monday",1347
"425","Monday",2100
"426","Monday",2470
"427","Monday",1576
"428","Monday",1654
"429","Monday",2095
"430","Monday",1907
"431","Monday",2010
